Size,Associativity,Access_Time(ns),Read_Energy(nJ),Area(mm2)
16KB,2,0.223,0.017,0.027
16KB,4,0.420,0.032,0.043
16KB,8,0.753,0.080,0.185
32KB,2,0.256,0.019,0.039
32KB,4,0.454,0.034,0.054
32KB,8,0.779,0.081,0.196
32KB,16,1.417,0.184,0.431
64KB,2,0.317,0.023,0.061
64KB,4,0.463,0.045,0.134
64KB,8,0.812,0.084,0.219
64KB,16,1.443,0.187,0.454
128KB,2,0.432,0.034,0.169
128KB,4,0.523,0.050,0.179
128KB,8,0.868,0.088,0.264
128KB,16,1.476,0.191,0.499
256KB,2,0.629,0.050,0.293
256KB,4,0.674,0.058,0.270
256KB,8,0.888,0.111,0.388
256KB,16,1.533,0.200,0.588
512KB,2,0.891,0.077,0.621
512KB,4,0.891,0.079,0.625
512KB,8,1.039,0.127,0.570
512KB,16,1.620,0.217,0.767
1MB,2,1.198,0.115,1.079
1MB,4,1.199,0.116,1.079
1MB,8,1.328,0.138,1.040
1MB,16,1.716,0.264,1.177
2MB,2,1.634,0.178,2.128
2MB,4,1.635,0.182,2.129
2MB,8,1.635,0.183,2.131
2MB,16,2.030,0.283,2.351
4MB,2,2.286,0.249,4.020
4MB,4,2.285,0.249,4.019
4MB,8,2.255,0.258,4.297
4MB,16,2.422,0.324,3.938
8MB,2,3.033,0.367,7.284
8MB,4,3.034,0.365,7.285
8MB,8,3.034,0.382,7.288
8MB,16,3.017,0.431,7.060
16MB,2,4.145,0.507,14.693
16MB,4,4.158,0.510,14.696
16MB,8,4.169,0.517,14.704
16MB,16,4.106,0.577,14.228
32MB,2,5.771,0.718,28.066
32MB,4,5.788,0.721,28.068
32MB,8,5.813,0.727,28.078
32MB,16,5.761,0.799,27.176